   Permno    date           rtn
   14593    20070111      -0.012371
   14593    20070112      -0.012317
   14593    20070116       0.026210
   14593    20070117      -0.022142
   14593    20070118      -0.061927
   14593    20070119      -0.006399
   14593    20070122      -0.019322
   14593    20070123      -0.012559
   14593    20070124       0.011669
   14593    20070125      -0.005190
   14593    20070126      -0.010087
   14593    20070129       0.006559
   14593    20070130      -0.004538
   14593    20070131       0.002104
   14593    20070201      -0.011548
   14593    20070202       0.000118
   14593    20070205      -0.009557
   14593    20070206       0.002502
   14593    20070207       0.023767
   14593    20070208       0.000348
   14593    20070209      -0.033767
   14593    20070212       0.019335
   14593    20070213      -0.002945
   14593    20070214       0.007917
   14593    20070215      -0.001055
   14593    20070216      -0.004460
   14593    20070220       0.012613
   14593    20070221       0.038417
   14593    20070222       0.003475
   14593    20070223      -0.004916
   14593    20070226      -0.004715
   14593    20070227      -0.053243
   14593    20070228       0.008102
   14593    20070301       0.028956
   14593    20070302      -0.018952
   14593    20070305       0.010653
   14593    20070306       0.021665
   14593    20070307      -0.005329
   14593    20070308       0.003192
   14593    20070309      -0.000341
   14593    20070312       0.021598
   14593    20070313      -0.016357
   14593    20070314       0.018100
   14593    20070315      -0.004778
   14593    20070316       0.000223
   14593    20070319       0.017189
   14593    20070320       0.003841
   14593    20070321       0.026126
   14593    20070322       0.000959
   14593    20070323      -0.004683
   14593    20070326       0.024914
   14593    20070327      -0.004069
   14593    20070328      -0.023256
   14593    20070329       0.005470
   14593    20070330      -0.008960
   14593    20070402       0.007965
   14593    20070403       0.009076
   14593    20070404      -0.002434
   14593    20070405       0.004349
   14593    20070409      -0.010879
   14593    20070410       0.006407
   14593    20070411      -0.017613
   14593    20070412      -0.004320
   14593    20070413      -0.021152
   14593    20070416       0.013187
   14593    20070417      -0.011812
   14593    20070418       0.000553
   14593    20070419      -0.001438
   14593    20070420       0.007755
   14593    20070423       0.027921
   14593    20070424      -0.002887
   14593    20070425       0.022608
   14593    20070426       0.036624
   14593    20070427       0.010927
   14593    20070430      -0.001201
   14593    20070501      -0.003307
   14593    20070502       0.009249
   14593    20070503       0.000100
   14593    20070504       0.004084
   14593    20070507       0.030850
   14593    20070508       0.010970
   14593    20070509       0.017323
   14593    20070510       0.004304
   14593    20070511       0.013043
   14593    20070514       0.005702
   14593    20070515      -0.016825
   14593    20070516      -0.001674
   14593    20070517       0.019564
   14593    20070518       0.005300
   14593    20070521       0.017815
   14593    20070522       0.013931
   14593    20070523      -0.005725
   14593    20070524      -0.019488
   14593    20070525       0.026470
   14593    20070529       0.006425
   14593    20070530       0.038653
   14593    20070531       0.020384
   14593    20070601      -0.023030
   14593    20070604       0.024747
   14593    20070605       0.011044
   14593    20070606       0.007907
   14593    20070607       0.003470
   14593    20070608       0.003393
   14593    20070611      -0.034541
   14593    20070612       0.001581
   14593    20070613      -0.023924
   14593    20070614       0.010638
   14593    20070615       0.014737
   14593    20070618       0.038091
   14593    20070619      -0.011432
   14593    20070620      -0.017063
   14593    20070621       0.019334
   14593    20070622      -0.007264
   14593    20070625      -0.005366
   14593    20070626      -0.021988
   14593    20070627       0.018721
   14593    20070628      -0.010911
   14593    20070629       0.012276
   14593    20070702      -0.006391
   14593    20070703       0.048738
   14593    20070705       0.043878
   14593    20070706      -0.003390
   14593    20070709      -0.014890
   14593    20070710       0.015498
   14593    20070711       0.000302
   14593    20070712       0.012689
   14593    20070713       0.027300
   14593    20070716       0.002686
   14593    20070717       0.005865
   14593    20070718      -0.005686
   14593    20070719       0.013611
   14593    20070720       0.026786
   14593    20070723      -0.000348
   14593    20070724      -0.061309
   14593    20070725       0.017571
   14593    20070726       0.063675
   14593    20070727      -0.014726
   14593    20070730      -0.016823
   14593    20070731      -0.068373
   14593    20070801       0.024590
   14593    20070802       0.011037
   14593    20070803      -0.033996
   14593    20070806       0.025788
   14593    20070807      -0.001626
   14593    20070808      -0.007555
   14593    20070809      -0.056861
   14593    20070810      -0.010998
   14593    20070813       0.022320
   14593    20070814      -0.029423
   14593    20070815      -0.033298
   14593    20070816      -0.023770
   14593    20070817       0.042802
   14593    20070820       0.001311
   14593    20070821       0.043774
   14593    20070822       0.038724
   14593    20070823      -0.010867
   14593    20070824       0.032273
   14593    20070827      -0.022543
   14593    20070828      -0.041059
   14593    20070829       0.057247
   14593    20070830       0.016184
   14593    20070831       0.016367
   14593    20070904       0.041017
   14593    20070905      -0.051332
   14593    20070906      -0.012796
   14593    20070907      -0.023998
   14593    20070910       0.037490
   14593    20070911      -0.008924
   14593    20070912       0.010038
   14593    20070913       0.002557
   14593    20070914       0.011735
   14593    20070917      -0.002882
   14593    20070918       0.018134
   14593    20070919      -0.001065
   14593    20070920      -0.003267
   14593    20070921       0.027368
   14593    20070924       0.028651
   14593    20070925       0.033046
   14593    20070926      -0.002677
   14593    20070927       0.011324
   14593    20070928      -0.006667
   14593    20071001       0.018694
   14593    20071002       0.013503
   14593    20071003      -0.003344
   14593    20071004      -0.010639
   14593    20071005       0.033345
   14593    20071008       0.040013
   14593    20071009      -0.000298
   14593    20071010      -0.006374
   14593    20071011      -0.027340
   14593    20071012       0.030967
   14593    20071015      -0.001636
   14593    20071016       0.015571
   14593    20071017       0.018693
   14593    20071018       0.004342
   14593    20071019      -0.017752
   14593    20071022       0.023119
   14593    20071023       0.067676
   14593    20071024      -0.001236
   14593    20071025      -0.016942
   14593    20071026       0.010504
   14593    20071029       0.002112
   14593    20071030       0.010319
   14593    20071031       0.015775
   14593    20071101      -0.013214
   14593    20071102       0.002294
   14593    20071105      -0.008996
   14593    20071106       0.030132
   14593    20071107      -0.028626
   14593    20071108      -0.058151
   14593    20071109      -0.057540
   14593    20071112      -0.070206
   14593    20071113       0.105359
   14593    20071114      -0.022652
   14593    20071115      -0.010896
   14593    20071116       0.012721
   14593    20071119      -0.014664
   14593    20071120       0.029887
   14593    20071121      -0.002310
   14593    20071123       0.018283
   14593    20071126       0.005841
   14593    20071127       0.013145
   14593    20071128       0.030948
   14593    20071129       0.022583
   14593    20071130      -0.011232
   14593    20071203      -0.018439
   14593    20071204       0.005311
   14593    20071205       0.031645
   14593    20071206       0.024004
   14593    20071207       0.022886
   14593    20071210      -0.000463
   14593    20071211      -0.029193
   14593    20071212       0.012303
   14593    20071213       0.005082
   14593    20071214      -0.007507
   14593    20071217      -0.031462
   14593    20071218      -0.007701
   14593    20071219       0.000765
   14593    20071220       0.022335
   14593    20071221       0.035789
   14593    20071224       0.025218
   14593    20071226       0.000754
   14593    20071227      -0.001910
   14593    20071228       0.006345
   14593    20071231      -0.008757
   14593    20080102      -0.016357
   14593    20080103       0.000462
   14593    20080104      -0.076335
   14593    20080107      -0.013385
   14593    20080108      -0.035972
   14593    20080109       0.047591
   14593    20080110      -0.007692
   14593    20080111      -0.029940
   14593    20080114       0.035265
   14593    20080115      -0.054480
   14593    20080116      -0.055608
   14593    20080117       0.007830
   14593    20080118       0.002921
   14593    20080122      -0.035449
   14593    20080123      -0.106451
   14593    20080124      -0.024965
   14593    20080125      -0.041224
   14593    20080128       0.000000
   14593    20080129       0.011768
   14593    20080130       0.004865
   14593    20080131       0.024058
   14593    20080201      -0.011894
   14593    20080204      -0.015701
   14593    20080205      -0.017395
   14593    20080206      -0.056895
   14593    20080207      -0.006230
   14593    20080208       0.034972
   14593    20080211       0.031638
   14593    20080212      -0.035458
